id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,result
71,1,0,0,0,0,0,1,1,0,0,0
72,1,1,1,1,1,1,1,0,1,0,1
73,0,1,0,1,0,1,0,1,1,0,1
74,1,0,1,0,0,1,1,0,1,1,1
75,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,1,1,0,0,1,0,0,0
77,0,0,0,0,1,0,1,0,0,0,0
78,0,0,0,0,1,0,0,0,0,0,0
79,0,0,0,0,0,0,1,0,1,1,1
80,1,1,1,0,1,1,0,1,1,1,0
81,1,1,1,1,0,1,1,0,1,0,1
82,1,0,0,0,1,0,0,0,0,0,0
83,0,0,1,0,1,0,1,1,0,0,0
84,1,1,0,1,0,1,1,1,0,1,1
85,1,1,1,1,1,1,1,1,1,0,1
86,1,1,1,1,1,1,1,1,1,1,1
87,0,1,1,1,0,0,0,1,1,0,0
88,1,1,0,0,0,1,1,0,1,0,0
89,1,1,1,1,1,0,1,0,1,1,0
90,1,0,1,1,1,1,0,1,1,1,1
91,1,1,1,1,1,0,0,1,1,1,0
92,0,0,1,1,1,1,0,1,1,0,1
93,1,1,0,1,0,0,1,1,0,1,1
94,1,1,1,1,1,1,0,0,1,1,0
95,1,0,1,0,0,1,0,0,0,0,0
96,1,1,1,1,0,1,1,1,1,1,0
97,1,1,1,0,1,1,1,1,1,1,1
98,0,1,1,1,1,0,0,1,0,0,1
99,1,0,0,0,0,0,0,0,0,0,0
100,1,1,1,1,1,1,1,1,1,1,1
101,1,0,0,0,1,1,0,1,0,0,1
102,1,1,1,1,0,1,0,1,1,0,1
103,1,1,1,1,1,1,1,1,1,1,1
104,0,0,0,0,1,0,0,0,0,0,1
105,0,0,0,0,0,0,1,0,0,0,0
106,0,0,0,0,1,0,0,0,0,0,0
107,1,1,1,1,0,1,0,0,1,0,0
108,0,0,1,1,0,1,1,1,1,0,0
109,0,1,1,0,0,1,0,0,0,1,0
110,0,1,1,1,1,1,1,1,1,1,1
111,1,1,1,1,0,1,1,0,1,0,0
112,1,0,1,1,1,1,1,1,1,0,1
113,0,1,0,0,0,0,1,1,1,1,1
114,0,0,1,1,1,1,1,1,0,1,1
115,1,0,0,1,0,0,0,1,1,1,0
116,0,1,1,1,1,1,0,1,1,1,1
117,1,1,1,1,1,1,1,1,1,1,1
118,0,1,1,0,1,1,0,0,1,1,1
119,0,0,1,0,0,0,1,1,0,1,1
120,0,1,1,0,0,1,0,0,0,0,0
121,1,1,0,1,1,1,1,1,1,1,1
122,1,0,1,0,1,0,1,1,1,1,1
123,0,1,1,0,0,1,0,1,1,0,1
124,0,0,0,0,0,0,0,0,0,0,0
125,1,1,0,1,0,1,0,0,0,1,1
126,0,0,1,1,1,1,1,1,1,0,1
127,0,0,0,1,1,0,1,0,1,0,0
128,1,0,0,0,1,0,0,0,1,0,1
129,0,1,1,1,1,1,0,0,1,0,1
130,0,0,0,0,0,1,1,0,0,0,1
131,0,1,1,1,0,1,1,1,1,0,1
132,1,1,1,1,1,1,0,1,1,1,1
133,1,0,1,1,1,1,1,0,1,1,1
134,0,0,1,0,0,0,0,0,0,0,0
135,1,1,0,1,1,1,1,0,1,1,1
136,0,1,1,0,0,1,1,0,1,0,1
137,0,0,0,0,1,0,1,1,0,1,0
138,0,0,1,0,0,0,0,0,0,1,0
139,1,1,0,1,1,1,1,0,0,1,1
140,0,0,0,1,0,0,0,0,1,1,1
141,0,0,1,1,0,1,0,0,1,1,1
142,1,1,1,1,1,1,0,1,1,1,1
143,1,0,1,1,1,1,1,1,1,1,1
144,1,1,1,1,1,0,1,1,1,1,1
145,1,1,0,0,1,1,0,1,1,0,0
146,1,1,0,0,0,0,0,0,1,0,0
147,0,0,0,0,1,1,1,0,0,0,0
148,0,0,0,0,0,0,0,1,0,0,0
149,0,1,0,1,0,0,1,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,1
151,1,1,1,1,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1,1,1,1,1
153,0,0,0,0,0,1,0,0,0,0,0
154,1,1,1,1,0,1,1,1,1,1,1
155,0,0,0,0,0,0,0,0,0,1,0
156,0,0,0,0,0,0,0,0,0,0,0
157,1,1,1,1,1,1,1,1,1,1,1
158,1,1,1,1,0,1,0,1,1,1,1
159,1,0,1,1,1,1,1,1,0,1,1
160,1,1,0,1,1,1,1,1,1,1,1
161,0,0,0,1,0,0,0,0,0,0,1
162,1,0,0,1,1,0,0,1,0,1,0
163,0,1,1,0,1,1,0,0,0,0,0
164,1,1,1,1,1,1,1,1,1,1,1
165,0,0,0,1,1,0,0,0,0,0,1
166,0,0,1,1,1,0,1,1,1,1,0
167,1,1,0,0,0,1,0,1,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0
169,1,1,0,1,1,1,0,1,0,1,1
170,1,0,0,0,1,0,1,0,1,1,1
171,0,0,0,0,0,1,1,0,0,0,0
172,1,1,1,1,1,1,1,1,1,1,1
173,1,1,1,0,0,1,0,1,1,1,1
174,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,1,0,0,0
178,0,0,1,0,1,0,0,0,0,0,0
179,0,1,1,1,0,0,0,1,0,1,1
180,0,1,1,0,1,1,1,0,1,1,1
181,1,1,1,1,1,0,1,0,0,1,1
182,1,1,1,1,1,1,1,1,1,1,1
183,1,0,1,1,1,1,0,1,1,1,1
184,1,1,0,0,0,0,1,1,1,0,0
185,1,1,1,1,1,1,1,1,1,0,1
186,1,1,1,1,1,1,1,1,1,1,1
187,0,1,1,1,0,1,0,0,1,1,0
188,1,0,1,0,0,1,0,0,1,0,1
189,0,1,0,0,0,0,1,0,1,1,0
190,0,0,0,1,1,0,0,1,1,1,1
191,1,0,1,1,1,1,1,0,1,1,1
192,1,1,0,1,1,0,0,0,0,0,1
193,0,0,0,0,1,0,0,0,0,0,0
194,1,0,1,1,1,1,1,0,1,1,1
195,0,0,1,0,0,0,0,1,0,1,0
196,1,1,1,1,1,1,1,1,1,1,1
197,1,0,1,0,0,0,1,0,0,0,0
198,1,1,0,1,0,1,0,0,1,1,1
199,0,0,0,0,0,0,1,0,0,1,0
200,1,1,1,1,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1,1,1,1,1
202,0,0,0,0,0,0,1,0,0,0,0
203,0,1,1,1,1,1,1,1,1,1,1
204,0,1,1,0,0,0,1,1,1,1,1
205,0,0,0,1,1,1,1,0,0,0,0
206,1,1,0,0,0,0,1,0,0,0,0
207,1,1,1,1,0,1,0,0,1,1,1
208,1,0,1,1,1,1,1,1,0,1,1
209,0,1,0,1,1,0,1,1,1,1,1
210,0,1,1,1,0,1,1,0,1,0,1
211,1,1,1,0,0,1,0,1,1,0,0
212,1,0,0,1,1,0,1,0,0,0,0
213,0,1,0,0,1,0,1,0,0,0,1
214,0,0,0,0,0,0,0,0,0,0,0
215,1,0,1,1,1,1,1,1,0,1,1
216,0,0,1,0,0,0,0,0,0,0,0
217,0,0,0,1,0,1,1,0,1,0,0
218,1,1,0,1,1,0,0,0,1,1,0
219,0,0,0,1,0,0,0,0,0,0,0
220,1,1,0,1,1,1,0,0,0,0,0
221,0,0,0,0,0,0,0,0,1,0,0
222,0,1,1,1,1,1,1,1,1,1,1
223,1,1,1,0,0,1,1,1,1,0,1
224,1,1,1,0,0,0,0,1,0,1,1
225,0,0,0,0,0,0,0,0,0,0,0
226,1,1,1,1,1,1,1,1,1,1,1
227,1,0,1,0,1,1,0,1,1,0,0
228,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,1
230,0,0,1,1,1,0,1,1,1,1,1
231,0,0,0,1,0,0,0,0,0,1,1
232,1,1,1,1,1,1,1,1,0,0,1
233,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,0
235,1,1,1,1,1,1,1,1,1,1,0
236,1,1,1,0,1,1,1,1,1,1,1
237,1,1,0,0,1,1,0,1,1,0,0
238,0,1,0,0,0,0,0,0,0,1,1
239,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0
241,1,1,1,1,1,1,1,1,1,0,1
242,1,0,1,0,0,1,1,0,1,1,0
243,1,0,1,0,1,0,0,0,0,0,1
244,1,1,1,1,1,1,1,1,1,1,1
245,1,1,1,0,1,1,0,1,1,1,0
246,1,1,1,1,1,1,0,1,1,1,1
247,0,1,0,0,0,0,1,0,0,1,1
248,0,0,1,0,0,0,1,1,1,0,1
249,0,0,0,0,0,0,0,0,0,0,0
250,0,1,1,1,0,1,1,1,1,1,0
251,1,1,0,1,0,1,1,1,0,1,0
252,0,1,1,0,0,0,0,1,1,1,1
253,1,1,0,0,0,1,1,1,1,1,0
254,0,0,1,0,0,1,0,0,0,1,0
255,1,0,0,0,1,0,0,0,0,0,0
256,0,0,0,0,0,0,1,0,0,0,0
257,0,0,1,1,1,1,0,1,1,1,1
258,0,0,0,1,0,0,0,1,0,0,0
259,0,1,1,0,1,1,1,1,0,1,0
260,0,0,0,0,1,0,1,0,0,1,0
261,0,0,1,1,0,0,1,0,1,0,1
262,1,1,1,0,1,1,1,0,0,1,0
263,1,1,1,1,0,0,0,1,0,1,0
264,0,0,0,1,0,1,0,1,0,0,1
265,0,1,1,1,1,1,0,0,1,1,1
266,0,0,1,1,0,0,1,1,1,0,0
267,0,1,1,0,1,1,1,0,1,1,1
268,1,1,1,0,0,0,0,1,1,1,0
269,1,1,1,1,1,1,1,1,1,1,0
270,1,1,1,1,1,1,0,1,1,1,1
271,0,0,0,1,0,0,0,0,0,0,0
272,1,1,0,1,1,1,1,1,1,1,1
273,1,1,1,1,1,1,1,0,1,0,0
274,0,1,1,0,0,0,0,0,1,0,0
275,0,0,0,0,0,0,0,0,0,1,0
276,0,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0
278,0,0,1,0,1,1,1,1,1,1,1
279,1,1,0,1,0,0,1,1,1,0,0
280,0,0,1,0,1,1,0,0,0,1,0
281,1,1,1,1,1,1,1,0,1,1,1
282,0,0,0,0,0,1,1,0,0,0,0
283,0,1,0,0,1,0,1,0,0,0,0
284,0,1,1,0,0,1,1,1,0,0,1
285,1,1,1,0,0,1,1,1,1,1,1
286,1,0,1,1,1,0,1,0,0,1,1
287,1,1,1,1,1,0,1,1,1,1,1
288,1,0,0,0,1,1,1,1,0,1,0
289,0,0,0,0,0,0,0,1,1,0,0
290,1,1,1,1,1,1,1,0,0,1,1
291,1,1,1,1,1,1,1,0,0,1,0
292,1,1,1,1,1,1,1,1,0,1,0
293,0,0,0,0,1,1,0,0,0,0,0
294,1,1,1,1,1,0,1,1,1,1,1
295,0,1,1,0,1,0,0,0,0,0,0
296,1,1,0,1,1,0,0,0,0,0,1
297,0,0,0,0,0,0,0,0,1,0,0
298,0,1,0,0,1,1,0,0,1,0,1
299,0,0,1,0,0,0,0,0,0,0,0
300,0,1,1,1,0,0,0,0,0,0,0
301,0,1,1,0,0,1,1,1,0,1,1
302,1,1,1,1,1,1,0,1,1,1,1
303,0,0,1,0,0,1,0,1,0,1,0
304,1,1,0,0,1,1,1,0,0,0,1
305,1,1,1,1,1,1,1,1,1,1,0
306,1,1,0,1,0,0,1,1,1,0,1
307,0,0,0,0,1,0,0,0,1,0,1
308,1,1,1,1,1,1,1,1,1,0,0
309,1,1,1,1,1,1,1,1,1,0,1
310,1,1,1,1,1,1,0,0,1,0,1
311,1,1,1,1,1,1,1,1,1,1,1
312,1,0,0,0,0,0,1,0,0,0,0
313,1,1,0,0,1,0,0,0,1,0,0
314,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,1,1,0
316,0,0,0,0,0,0,0,0,0,0,0
317,0,1,1,0,0,0,0,0,0,0,0
318,1,1,1,0,1,1,0,1,0,0,1
319,1,1,1,0,1,1,1,1,1,1,1
320,0,1,1,1,1,0,1,1,1,1,0
321,1,1,1,1,1,1,1,1,1,1,1
322,1,0,1,1,1,1,0,1,0,1,1
323,0,0,0,0,0,0,0,0,0,0,0
324,1,0,1,1,0,1,1,1,1,1,1
325,1,1,1,1,1,1,1,1,1,1,1
326,1,1,1,1,1,1,0,1,1,1,1
327,0,0,0,1,1,0,0,1,1,0,0
328,1,0,1,1,1,1,1,1,1,0,1
329,0,0,1,1,1,1,1,0,1,1,1
330,1,1,1,1,1,1,0,1,1,1,1
331,0,0,0,1,1,1,1,1,0,1,1
332,1,1,1,0,1,1,1,1,1,1,1
333,1,1,1,1,1,1,1,1,1,1,1
334,0,1,1,1,1,0,1,1,1,0,0
335,1,1,1,0,1,0,0,0,1,0,1
336,0,0,0,0,0,0,0,0,0,0,0
337,1,0,1,1,0,1,0,1,1,0,0
338,0,1,1,1,0,1,1,1,0,1,0
339,1,1,1,0,0,1,0,0,0,0,0
340,1,0,1,1,0,1,0,1,1,0,1
341,1,1,0,1,1,1,1,1,1,1,1
342,0,0,0,0,0,1,1,0,0,0,1
343,1,1,1,1,1,1,1,1,1,1,1
344,0,0,0,0,0,0,1,0,0,0,0
345,0,1,0,0,0,0,1,0,1,0,0
346,0,0,1,0,0,0,0,0,1,0,1
347,1,1,1,0,0,0,0,0,0,0,1
348,0,0,0,1,1,0,0,0,0,0,1
349,0,0,0,1,0,0,0,0,0,0,0
350,1,0,1,0,0,0,0,0,0,0,0
351,1,1,1,0,1,1,1,1,1,1,1
352,0,0,0,1,0,0,0,1,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0
354,0,0,1,0,0,0,0,0,0,0,1
355,1,1,0,0,1,1,1,0,1,0,1
356,0,0,0,0,0,1,0,0,0,0,0
357,1,1,1,1,1,1,1,1,1,1,1
358,1,1,1,0,1,1,0,1,1,1,0
359,1,1,1,1,1,1,1,1,1,1,1
360,0,1,1,1,0,1,1,1,1,1,1
361,1,1,1,1,1,1,0,0,1,1,1
362,0,0,0,0,0,0,0,0,0,0,0
363,1,1,1,1,1,1,1,0,0,1,1
364,1,1,0,0,1,0,0,1,0,0,0
365,1,1,1,1,1,1,1,1,1,1,1
366,1,0,0,1,0,0,1,1,0,0,1
367,1,0,1,1,1,0,0,0,0,0,0
368,1,0,0,0,0,1,0,1,1,1,0
369,1,1,1,1,1,1,1,1,1,1,1
370,0,1,0,0,1,0,0,0,1,1,0
371,1,1,0,1,0,0,0,1,0,1,0
372,0,1,0,1,1,1,1,1,1,1,1
373,0,1,0,1,0,0,0,1,1,1,0
374,0,1,0,1,0,0,0,1,0,1,0
375,0,0,1,1,0,1,1,0,1,0,0
376,1,1,1,1,1,1,1,1,1,0,1
377,0,0,0,1,1,0,1,0,0,0,0
378,0,0,0,1,1,0,1,1,0,1,0
379,0,1,1,1,1,1,1,1,1,0,1
380,1,0,0,0,1,1,1,0,0,0,0
381,1,0,0,1,1,1,1,0,1,1,1
382,1,0,1,1,1,1,1,0,0,1,1
383,0,0,0,0,0,0,0,0,0,0,1
384,1,0,1,0,0,0,0,0,1,0,0
385,0,1,1,1,0,1,1,0,0,1,0
386,0,0,0,0,0,0,0,0,0,1,0
387,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,1,0,0,1,1,0,1
389,0,1,0,0,0,0,0,0,0,0,0
390,0,0,0,1,1,0,1,0,0,1,0
391,0,0,0,0,0,0,1,0,0,0,0
392,1,0,0,1,0,0,0,1,0,1,1
393,1,0,0,0,1,0,0,1,1,1,0
394,0,0,0,0,1,1,1,1,0,1,1
395,1,1,1,1,0,0,1,1,1,0,1
396,0,1,1,1,0,0,0,1,0,1,1
397,1,0,0,0,1,0,1,1,1,0,1
398,1,0,1,1,0,0,1,0,0,1,1
399,1,1,1,1,0,0,0,0,0,1,0
400,1,1,1,1,1,1,1,1,1,1,1
401,1,0,0,1,1,1,1,0,0,0,0
402,0,0,0,0,0,0,1,0,0,0,1
403,1,1,1,1,1,1,0,1,1,1,1
404,1,1,1,1,1,1,1,0,1,1,1
405,0,1,1,1,0,1,1,1,0,0,1
406,1,1,1,1,1,1,1,1,1,1,0
407,1,1,1,1,1,1,0,1,0,1,0
408,0,0,0,0,0,0,0,0,0,0,0
409,1,0,0,0,0,0,1,0,0,0,0
410,1,0,0,1,0,0,1,1,0,1,0
411,1,1,1,1,1,1,1,0,1,1,1
412,0,1,0,1,1,1,1,1,1,1,0
413,1,1,1,1,1,0,1,0,1,1,0
414,0,0,0,0,0,0,0,0,0,0,0
415,0,0,0,0,0,1,1,0,0,0,0
416,1,1,1,0,1,1,0,1,1,1,1
417,0,0,0,0,0,0,0,0,0,1,0
418,1,0,1,1,1,1,0,1,1,1,0
419,1,1,1,1,0,1,1,1,1,1,0
420,1,0,0,0,0,0,0,1,0,0,0
421,0,0,1,0,1,0,0,0,0,1,0
422,0,0,1,0,0,0,1,0,1,1,1
423,0,0,1,0,1,0,1,1,0,1,1
424,1,0,1,0,1,1,1,0,0,1,0
425,1,0,1,1,0,0,1,0,1,1,1
426,0,0,0,0,0,0,1,0,0,0,0
427,1,1,1,0,1,0,1,1,0,1,1
428,1,0,0,0,1,0,1,1,0,1,1
429,0,0,0,1,1,1,0,1,1,1,0
430,1,0,0,0,1,0,0,0,0,0,0
431,1,1,1,1,1,1,1,1,1,1,1
432,0,0,0,0,0,0,0,0,1,0,0
433,1,0,0,0,0,0,1,0,1,1,0
434,1,0,0,0,0,0,0,1,0,0,1
435,1,1,1,1,0,1,0,1,1,1,1
436,1,0,1,1,1,1,1,0,0,1,1
437,1,0,1,0,0,0,0,0,1,0,0
438,0,1,0,1,0,0,0,0,0,0,0
439,1,0,1,1,0,1,0,0,1,1,0
440,0,0,0,0,0,0,0,1,0,0,1
441,1,0,1,0,1,0,1,1,0,0,0
442,0,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,0,1,1,1
444,0,0,0,0,0,0,1,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0,0
446,1,1,1,0,1,0,1,1,1,1,1
447,0,1,1,0,1,1,1,1,1,0,0
448,0,0,0,0,0,0,0,0,0,0,0
449,0,1,0,1,1,1,1,0,1,1,1
450,1,0,1,1,0,0,0,1,1,1,1
451,1,1,0,0,0,0,1,1,1,0,0
452,1,1,1,1,1,1,1,1,0,1,1
453,1,1,0,1,0,1,1,1,0,1,1
454,1,0,1,1,1,0,0,0,1,0,1
455,1,1,1,1,1,1,1,1,1,1,1
456,1,0,0,0,1,0,0,0,1,0,0
457,0,0,1,0,0,0,0,0,0,1,0
458,0,0,1,1,0,1,1,1,1,1,1
459,0,0,0,0,0,0,0,0,0,0,0
460,1,1,1,1,1,1,1,1,1,1,1
461,1,1,1,0,1,1,1,1,1,1,1
462,1,1,1,0,1,1,0,1,1,1,0
463,1,1,1,1,1,1,0,1,1,1,1
464,1,1,1,1,1,1,0,1,0,1,1
465,0,1,0,0,0,1,0,1,0,0,0
466,1,1,1,1,1,1,0,1,1,1,1
467,1,0,0,0,0,1,1,1,1,0,1
468,0,0,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0,1,0,0
470,0,0,0,0,0,0,0,0,0,0,0
471,1,1,1,1,1,1,1,1,1,1,1
472,0,0,0,0,1,0,0,0,0,0,0
473,1,1,0,1,1,1,1,1,1,0,1
474,1,1,1,0,1,1,0,0,1,1,1
475,0,1,0,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0,0
478,1,1,1,0,1,0,1,1,1,0,1
479,1,1,1,1,1,1,1,0,1,1,1
480,0,1,0,1,1,1,1,1,1,1,1
481,0,0,0,0,1,0,1,0,0,1,1
482,1,0,1,1,0,1,1,1,1,1,1
483,1,1,1,1,1,1,1,1,1,1,0
484,0,1,1,1,0,0,1,1,0,1,1
485,1,1,1,1,1,1,1,1,1,1,1
486,0,0,1,1,0,1,0,0,1,0,0
487,1,0,1,1,1,1,1,1,1,1,1
488,0,0,0,0,0,0,0,1,0,0,0
489,0,0,0,0,0,0,0,0,0,0,0
490,1,1,1,1,0,1,1,1,1,1,1
491,0,0,0,0,0,0,0,0,0,0,0
492,1,1,1,1,1,1,1,1,1,1,1
493,0,0,1,1,1,0,1,1,1,0,0
494,0,0,0,0,0,0,0,1,0,0,0
495,0,0,1,0,0,0,1,0,1,0,1
496,0,0,0,0,0,0,0,0,0,0,0
497,0,1,0,0,0,0,0,0,1,0,1
498,0,0,1,0,1,0,0,0,1,0,1
499,0,0,0,0,0,0,0,0,1,1,0
500,1,1,0,1,1,0,0,0,0,1,1
501,1,1,0,1,1,1,1,1,1,1,1
502,1,1,1,0,1,1,0,1,1,1,0
503,0,1,0,0,0,0,0,0,1,0,1
504,1,0,1,0,1,1,1,1,1,1,1
505,1,0,0,0,0,0,1,0,1,0,0
506,1,1,0,0,0,1,0,1,0,0,1
507,1,1,1,1,1,1,1,1,1,1,1
508,1,1,0,0,0,1,0,0,1,0,1
509,0,0,0,0,0,0,0,1,0,0,0
510,0,0,0,0,0,1,0,1,1,0,1
511,0,0,1,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,1,1,0,1
513,1,0,1,1,0,1,1,0,1,0,1
514,0,0,0,0,0,1,0,0,1,0,0
515,1,0,0,0,1,0,1,0,1,0,1
516,1,1,1,0,1,1,1,0,1,1,1
517,0,0,0,1,0,0,0,0,0,0,0
518,1,1,0,1,1,1,1,1,0,1,1
519,0,1,1,1,1,1,1,1,1,1,1
520,1,1,1,0,0,1,1,1,1,0,1
521,1,1,1,1,0,1,1,0,1,0,1
522,0,0,0,0,0,0,0,0,0,0,0
523,1,0,1,0,0,1,0,0,1,1,0
524,0,1,0,0,0,0,1,0,1,1,1
525,1,1,1,1,0,1,0,1,1,1,1
526,1,0,0,0,0,0,1,1,0,1,1
527,1,0,0,0,0,0,0,0,1,1,1
528,1,1,1,1,0,1,1,1,1,1,1
529,1,1,1,1,1,1,1,1,1,1,1
530,0,0,1,1,0,0,0,0,0,1,0
531,1,1,1,0,1,0,0,0,1,1,1
532,1,0,1,1,1,1,1,1,1,1,1
533,0,0,0,1,0,0,0,0,1,0,1
534,0,0,0,0,0,0,0,0,0,0,0
535,1,0,0,1,0,1,1,0,1,1,1
536,0,1,1,1,1,1,1,1,1,1,1
537,0,1,1,1,0,1,1,1,1,0,1
538,1,1,1,1,1,0,1,1,1,1,1
539,0,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,0
541,0,0,0,1,0,0,0,1,0,1,1
542,1,0,0,0,0,0,1,0,0,1,0
543,1,0,1,1,0,0,0,0,0,0,1
544,1,0,1,0,0,0,1,1,0,0,1
545,1,1,0,1,0,1,1,0,0,1,0
546,1,0,1,1,1,1,0,1,1,1,0
547,1,1,0,0,0,1,1,0,0,1,0
548,1,1,1,1,1,1,1,1,1,0,1
549,0,0,0,0,0,0,0,1,0,0,0
550,1,0,1,0,0,0,0,0,1,1,0
551,1,0,1,0,1,1,1,1,0,1,0
552,1,1,1,1,1,0,1,1,1,0,1
553,1,0,0,0,1,1,0,1,0,0,0
554,0,0,0,1,0,1,1,1,1,0,0
555,1,1,1,1,1,1,1,1,1,1,1
556,0,0,0,0,1,0,0,0,1,1,1
557,0,0,0,0,1,0,0,0,1,0,0
558,1,0,0,0,0,1,1,0,1,0,0
559,0,0,0,0,0,0,0,1,0,0,0
560,1,1,1,1,1,1,1,1,1,1,1
561,0,0,0,0,1,1,1,0,1,1,1
562,1,1,0,1,0,1,1,0,0,0,0
563,1,1,1,1,1,1,1,1,1,1,1
564,0,1,0,1,0,1,0,0,0,0,1
565,1,1,1,1,1,1,1,1,1,1,0
566,0,1,1,0,0,0,0,0,0,1,0
567,1,1,1,1,1,1,0,0,1,1,1
568,1,1,1,1,1,0,1,1,1,1,1
569,0,0,0,0,0,0,0,0,1,0,0
570,0,1,1,1,1,1,0,1,1,1,1
571,1,1,1,1,1,1,1,1,1,1,1
572,1,1,1,1,0,1,0,1,1,1,0
573,1,0,0,0,1,0,1,0,0,0,0
574,0,0,0,0,0,0,0,1,1,0,0
575,1,1,1,1,1,1,1,1,1,1,0
576,0,0,0,0,0,0,0,0,0,0,0
577,0,1,0,1,1,0,0,1,1,0,1
578,1,1,1,1,1,1,1,0,0,0,0
579,1,1,1,1,1,1,1,0,0,1,1
580,0,0,0,1,0,1,1,0,0,1,1
